rank,country,persecution_score
1,North Korea,98
2,Somalia,94
3,Yemen,94
4,Libya,91
5,Sudan,90
6,Eritrea,89
7,Nigeria,88
8,Pakistan,87
9,Iran,86
10,Afghanistan,85
11,India,84
12,Saudi Arabia,81
13,Myanmar,81
14,Mali,80
15,China,78
16,Maldives,78
17,Iraq,78
18,Syria,78
19,Algeria,77
20,Burkina Faso,76
21,Morocco,74
22,Laos,74
23,Mauritania,74
24,Bangladesh,74
25,Uzbekistan,73
26,Cuba,73
27,Central African Republic,72
28,Niger,72
29,Turkmenistan,71
30,Nicaragua,71
31,Mexico,71
32,Oman,70
33,Ethiopia,70
34,Tunisia,70
35,Congo DR (DRC),70
36,Bhutan,69
37,Mozambique,68
38,Kazakhstan,68
39,Tajikistan,68
40,Egypt,68
41,Qatar,67
42,Comoros,67
43,Cameroon,67
44,Vietnam,67
45,Turkey,67
46,Colombia,66
47,Kyrgyzstan,66
48,Brunei,66
49,Chad,65
50,Jordan,65
