Rank,Country,ISO_Code,Overall_TTDI_Score
1,United States,USA,5.24
2,Spain,ESP,5.18
3,Japan,JPN,5.09
4,France,FRA,5.07
5,Australia,AUS,5.00
6,Germany,DEU,4.98
7,United Kingdom,GBR,4.97
8,China,CHN,4.92
9,Italy,ITA,4.90
10,Switzerland,CHE,4.88
11,Canada,CAN,4.85
12,Portugal,PRT,4.78
13,Singapore,SGP,4.76
14,Korea South,KOR,4.74
15,Austria,AUT,4.65
16,Netherlands,NLD,4.64
17,Denmark,DNK,4.63
18,United Arab Emirates,ARE,4.62
19,Sweden,SWE,4.57
20,Finland,FIN,4.52
21,Greece,GRC,4.52
22,Indonesia,IDN,4.46
23,Belgium,BEL,4.45
24,Ireland,IRL,4.44
25,New Zealand,NZL,4.41
26,Brazil,BRA,4.41
27,Poland,POL,4.40
28,Luxembourg,LUX,4.40
29,Turkey,TUR,4.39
30,Cyprus,CYP,4.37
31,Chile,CHL,4.33
32,Norway,NOR,4.32
33,Hungary,HUN,4.31
34,Czechia,CZE,4.30
35,Malaysia,MYS,4.28
36,Israel,ISR,4.27
37,Estonia,EST,4.26
38,Mexico,MEX,4.26
39,India,IND,4.25
40,Croatia,HRV,4.24
41,Saudi Arabia,SAU,4.23
42,Slovenia,SVN,4.22
43,Lithuania,LTU,4.20
44,Latvia,LVA,4.19
45,Georgia,GEO,4.18
46,Thailand,THA,4.12
47,Malta,MLT,4.11
48,Argentina,ARG,4.10
49,Costa Rica,CRI,4.08
50,Bulgaria,BGR,4.06
51,Romania,ROU,4.05
52,Qatar,QAT,4.02
53,Jamaica,JAM,4.00
54,South Africa,ZAF,4.00
55,Mauritius,MUS,3.98
56,Morocco,MAR,3.97
57,Vietnam,VNM,3.96
58,Serbia,SRB,3.95
59,Peru,PER,3.94
60,Egypt,EGY,3.94
61,Colombia,COL,3.92
62,Panama,PAN,3.90
63,Montenegro,MNE,3.88
64,Slovakia,SVK,3.87
65,Albania,ALB,3.85
66,Uruguay,URY,3.84
67,Ecuador,ECU,3.82
68,North Macedonia,MKD,3.80
69,Tunisia,TUN,3.78
70,Philippines,PHL,3.76
71,Azerbaijan,AZE,3.74
72,Dominican Republic,DOM,3.72
73,Sri Lanka,LKA,3.70
74,Armenia,ARM,3.68
75,Jordan,JOR,3.66
76,Oman,OMN,3.65
77,Uzbekistan,UZB,3.62
78,Kenya,KEN,3.60
79,Rwanda,RWA,3.58
80,Tanzania,TZA,3.55
81,Botswana,BWA,3.71
82,Kazakhstan,KAZ,3.50
83,Guatemala,GTM,3.48
84,Nepal,NPL,3.45
85,Cambodia,KHM,3.42
86,Honduras,HND,3.40
87,Senegal,SEN,3.38
88,Namibia,NAM,3.35
89,Bolivia,BOL,3.32
90,Laos,LAO,3.30
91,Zambia,ZMB,3.28
92,Ghana,GHA,3.25
93,Paraguay,PRY,3.22
94,El Salvador,SLV,3.20
95,Nicaragua,NIC,3.18
96,Zimbabwe,ZWE,3.15
97,Bangladesh,BGD,3.12
98,Mongolia,MNG,3.10
99,Cameroon,CMR,3.08
100,Algeria,DZA,3.05
101,Tajikistan,TJK,3.02
102,Madagascar,MDG,3.00
103,Uganda,UGA,2.98
104,Malawi,MWI,2.95
105,Benin,BEN,2.92
106,Ethiopia,ETH,2.90
107,Burkina Faso,BFA,2.88
108,Pakistan,PAK,2.85
109,Mozambique,MOZ,2.82
110,Venezuela,VEN,2.80
111,Nigeria,NGA,2.78
112,Lesotho,LSO,2.76
113,Cote d'Ivoire,CIV,2.74
114,Sierra Leone,SLE,2.72
115,Mauritania,MRT,2.70
116,Yemen,YEM,2.68
117,Chad,TCD,2.65
118,Mali,MLI,2.78
